13 3.150627
15 2.578640
14 2.539973
7 2.455710
17 2.324732
5 2.185911
9 2.076484
3 2.064063
6 2.056489
8 2.050489
11 2.009023
4 1.755326
16 1.566183
10 1.413529
12 1.359424
2 1.229062
1 1.226560

9 3.009259
10 2.971435
3 2.842572
17 2.808920
16 2.732382
8 2.726186
4 2.592799
11 2.568520
5 2.365021
2 2.335491
7 2.218713
6 2.215949
1 2.011374
15 1.639070
14 1.593294
13 1.270684
12 1.076619

9 3.931180
1 3.581095
3 3.185477
6 2.964960
5 2.836369
7 2.520810
4 2.503013
2 2.337834
14 2.112822
17 2.101558
15 2.080990
10 2.041154
11 1.968764
16 1.688887
8 1.613155
13 1.154592
12 1.009251

9 2.897542
10 2.813204
3 2.799749
17 2.730457
16 2.618778
8 2.564085
4 2.527027
11 2.420838
7 2.370363
5 2.363122
2 2.329652
6 2.316487
1 2.103126
15 1.818109
14 1.761521
13 1.463751
12 1.138712
